long,lat,id,nombre,categoria,cocina,ambientacion,telefono,mail,horario,calle_nombre,calle_altura,calle_cruce,direccion_completa,barrio,comuna,codigo_postal,codigo_postal_argentino
"-584,754,911","-346,770,507",2737,22,CAFE,MINUTAS,MODERNO,,,,MURGUIONDO,4188,,MURGUIONDO 4188,Villa Lugano,8,1439,C1439FTB
"-583,740,769","-346,003,777",2092,650,RESTAURANTE,FUSION,MODERNO,4313 9650,seisso@seisso.com.ar,,SAN MARTIN,650,,SAN MARTIN 650,San Nicolas,1,1004,C1004AAN
,,,1893,Restaurante,,,4773-2951,restaurante1893@hotmail.com,,,,,SCALABRINI ORTIZ 701,VILLA CRESPO,15,,
"-583,923,296","-346,215,535",676,1843 VINACOTECA,VINERIA,,,4779 0806,,lunes a domingo de 8 a 00,HUMBERTO 1º,1843,,HUMBERTO 1º 1843,San Cristobal,3,,
"-584,535,423","-345,603,114",487,2080 EXPRESS,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4788 4500,,lunes a domingo de 8 a 00,JURAMENTO,2080,,JURAMENTO AV. 2080,Belgrano,13,1428,C1428DNH
"-584,254,372","-34,585,695",2,4 EN 2 I,RESTAURANTE,,,4832 9510,,,BORGES JORGE LUIS,2095,,"BORGES, JORGE LUIS 2095",Palermo,14,1425,C1425FFA
"-584,222,624","-345,718,432",3,4 X 4 CAFE,BAR,MINUTAS,,4776 6000,info@4x4cafe.com,,DEL LIBERTADOR,3838,,DEL LIBERTADOR AV. 3838,Palermo,14,1425,C1425ABY
"-583,783,094","-346,047,967",2091,5TA AVENIDA,RESTAURANTE,MINUTAS,MODERNO,4394 5611,,lunes a viernes de 7.30 a 19,SARMIENTO,814,,SARMIENTO 814,San Nicolas,1,1041,C1041AAR
"-583,719,622","-346,042,924",2093,5TA AVENIDA I,RESTAURANTE,MINUTAS,MODERNO,4325 2960,,lunes a viernes de 6 a 20,SARMIENTO,381,,SARMIENTO 381,San Nicolas,1,1041,C1041AAG
"-58,447,104","-345,975,547",2655,5TA ZONA,,PARRILLA,CLASICO PORTEÑO,4855 4001,,,MURILLO,1049,,MURILLO 1049,Villa Crespo,15,1414,C1414AFK
"-584,394,318","-345,833,051",5,7 SEVEN,RESTAURANTE,PORTEÃ‘A,RUSTICA,4770 9698,,,GORRITI,5802,,GORRITI 5802,Palermo,14,1414,C1414BKJ
"-583,942,958","-345,947,035",1636,788 FOODBAR,RESTAURANTE,MEDITERRANEA,MODERNO,4814 4788,www.788foodbar.com.ar,,ARENALES,1877,,ARENALES 1877,Recoleta,2,1124,C1124AAA
"-58,436,535","-345,853,461",6,8 MILIMETROS,RESTAURANTE,DE AUTOR,CINE,4899 0474,,,GORRITI,5535,,GORRITI 5535,Palermo,14,1414,C1414BKC
"-583,810,435","-346,014,656",2094,9 DE JULIO,RESTAURANTE,,,4322 2501,,,PELLEGRINI CARLOS,593,,"PELLEGRINI, CARLOS 593",San Nicolas,1,1009,C1009ABK
"-584,731,521","-346,754,401",2740,9 DE JULIO II,CAFE,PIZZERIA,CLASICO PORTEÑO,,,,RIESTRA,5498,,RIESTRA AV. 5498,Villa Lugano,8,1439,C1439BYS
"-585,204,763","-346,261,577",2648,A FUEGO LENTO,RESTAURANTE,TRADICIONAL,RUSTICA,4644 6566,,,SANTO TOME,5915,,SANTO TOME 5915,Versalles,10,1408,C1408AYM
"-583,995,222","-34,596,876",1637,A LA MAROSKA,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4824 8878,,,ALVEAR MARCELO T. De,2251,,"ALVEAR, MARCELO T. De 2251",Recoleta,2,1122,C1122AAI
"-584,760,827","-34,677,236",2738,A SOLAS,CONFITERIA,MINUTAS,MODERNO,,,,GALLO DELFIN,5748,,"GALLO, DELFIN 5748",Villa Lugano,8,1439,C1439IBB
"-584,602,788","-345,656,254",488,A TEMPO,RESTAURANTE,TRADICIONAL,MODERNO,4787 9196,,,ECHEVERRIA,2900,,ECHEVERRIA 2900,Belgrano,13,1428,C1428DRZ
"-583,709,124","-346,159,869",2547,A. J. JARDIN CERVERCERO,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4300 7480,,lunes a domingo de 9 a 5,CHILE,342,,CHILE AV. 342,San Telmo,1,1098,C1098AAH
"-583,744,515","-346,021,408",2095,ABC,RESTAURANTE,ALEMANA,ALEMANA,4393 3992,,lunes a viernes de 12 a 17,LAVALLE,545,,LAVALLE 545,San Nicolas,1,1047,C1047AAK
"-583,798,148","-34,594,148",1950,ABRIL,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4393 0684,,lunes a sábado de 8 a 00,ARENALES,900,,ARENALES 900,Retiro,1,1061,C1061AAD
"-583,702,129","-346,161,421",2549,ABRIL BRISTO,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4342 8000,abrilbistro@fibertel.com,,BALCARCE,722,,BALCARCE 722,San Telmo,1,1064,C1064AAP
"-58,460,854","-346,427,581",1122,ABUELO MATIAS,RESTAURANTE,MINUTAS,CLASICO PORTEÑO,4611 2758,abuelomatias@hotmail.com,,SAN PEDRITO,1094,,SAN PEDRITO 1094,Flores,7,1406,C1406EXX
"-5,843,767","-34,583,019",7,ACABAR,BAR,MINUTAS,BOHEMIO,4772 0845,acabar@bank.com.ar,,HONDURAS,5733,,HONDURAS 5733,Palermo,14,1414,C1414BNG
"-583,775,014","-346,023,465",2096,ACAPULCO,RESTAURANTE,PORTEÃ‘A,CLASICO PORTEÑO,4394 7975,acapulco@restaurante.com.ar,,LAVALLE,757,,LAVALLE 757,San Nicolas,1,1047,C1047AAO
"-583,915,927","-346,126,941",1336,ACAPULCO,CAFE,,,,,,MORENO,1800,,MORENO 1800,Monserrat,1,1093,C1093ABH
"-584,839,804","-345,755,863",2823,ACCADEMIA della pizza,RESTAURANTE,TRADICIONAL,MODERNO,4522-4400,,,Triunvirato,4495,,TRIUNVIRATO AV. 4495,Villa Urquiza,12,1431,C1431FBH
"-584,102,802","-345,894,053",1638,ACQUANOVA,,MINUTAS,CLASICO PORTEÑO,4825 1833,,lunes a domingo de 8 a 3,DIAZ CNEL.,1879,,"DIAZ, CNEL. AV. 1879",Recoleta,2,1425,C1425DQE
"-584,156,705","-345,977,725",1639,ACROPOLIS,CAFE,SANDWICHERIA,CLASICO PORTEÑO,4963 4888,,lunes a viernes de 7 a 20,CORDOBA,3493,,CORDOBA AV. 3493,Recoleta,2,1188,C1188AAA
"-584,582,663","-346,397,026",1124,ACUARIO,RESTAURANTE,PARRILLA,CLASICO PORTEÑO,,,,VARELA,920,,VARELA AV. 920,Flores,7,1406,C1406EKT
"-584,526,173","-345,652,746",489,ADANN,RESTAURANTE,INTERNACIONAL,CLASICO PORTEÑO,4783 6429,,,HERNANDEZ JOSE,2345,,"HERNANDEZ, JOSE 2345",Belgrano,13,1426,C1426EOO
"-583,978,525","-345,971,463",1641,AFICHE,CAFE,INTERNACIONAL,CLASICO PORTEÑO,4822 8979,,,ALVEAR MARCELO T. De,2119,,"ALVEAR, MARCELO T. De 2119",Recoleta,2,1122,C1122AAG
"-583,593,959","-346,287,975",1222,AGARRATE CATALINA,RESTAURANTE,PARRILLA,CLASICO PORTEÑO,4307 1099,,lunes a sábado de 9 a 16 y de 19 a 21,CABOTO,537,,CABOTO 537,Boca,4,1157,C1157ABI
"-583,840,686","-345,893,648",1951,AGRAZ,RESTAURANTE,INTERNACIONAL,MODERNO,4859 1129,,,POSADAS,1232,,POSADAS 1232,Retiro,1,1011,C1011ABF
"-583,654,688","-346,201,026",1591,AIRES DE PATAGONIA,RESTAURANTE,PATAGONICA,RUSTICA,4315 2151,www.airesdepatagonia.com,lunes a lunes de 11 al cierre,MOREAU DE JUSTO ALICIA,1798,,"MOREAU DE JUSTO, ALICIA AV. 1798",Puerto Madero,1,1107,C1107AFJ
"-5,843,258","-345,866,984",8,AL ANDALUZ,BAR,MEDITERRANEA,ANTIGUO,4832 9286,,,GODOY CRUZ,1823,,GODOY CRUZ 1823,Palermo,14,1414,C1414CYM
"-583,789,129","-34,622,025",1093,AL BAR,BAR,INTERNACIONAL,MODERNO,4300 5208,,,SAN JUAN,915,,SAN JUAN AV. 915,Constitucion,1,1147,C1147AAH
,,,AL CARBÓN,Restaurante,,,4312-5603/04,alcarbon@fibertel.com.ar,,,,,RECONQUISTA 875,SAN NICOLAS,1,,
"-583,965,727","-345,986,872",1640,AL CLUB,RESTAURANTE,PORTEÃ‘A,MODERNO,4963 0040,,,PARAGUAY,2044,,PARAGUAY 2044,Recoleta,2,1121,C1121ABF
"-584,321,406","-345,873,739",10,AL FRESCO,RESTAURANTE,TRADICIONAL,CLASICO PORTEÑO,4833 2776,,lunes a sábado de 8 a 20,HONDURAS,5201,,HONDURAS 5201,Palermo,14,1414,C1414BMU
"-584,266,734","-345,919,434",9,AL SHARK,RESTAURANTE,ARABE,ARABE,4833 6933,www.alshark.com.ar,,SCALABRINI ORTIZ RAUL,1426,,"SCALABRINI ORTIZ, RAUL AV. 1426",Palermo,14,1414,C1414DOO
"-584,155,295","-34,586,056",11,AL TAGLIO PIZZORANTE,RESTAURANTE,,,,,,ARAOZ,2476,,ARAOZ 2476,Palermo,14,1425,C1425DGL
